factor,frequency,window_days,mean_ic,std_ic,mean_abs_ic,volatility,sign_change_rate,num_observations,autocorr_lag1,autocorr_lag3,autocorr_lag6,autocorr_lag12,pct_significant
Operating_Profit_Margin,M,60,-0.0015827259505109042,0.15742323961188961,0.1403947887745058,99.46335912485252,1.0,11,0.0,0.0,0.0,0.0,
Operating_Profit_Margin,M,126,-0.020672172462930027,0.15192688197597182,0.13550309373458833,7.349342806055423,1.0,10,0.0,0.0,0.0,0.0,
Operating_Profit_Margin,M,252,-0.011502185054732538,0.15818028361117054,0.1390920975787973,13.752194288170294,1.0,9,0.0,0.0,0.0,0.0,
Operating_Profit_Margin,M,504,0.021293670353095796,0.14621132590120953,0.12074958520351216,6.866421968439672,1.0,5,0.0,0.0,0.0,0.0,
Operating_Profit_Margin,Q,60,0.04305484001848644,0.20683849037590937,0.14625689915519396,4.804070582705666,1.0,2,0.0,0.0,0.0,0.0,
Operating_Profit_Margin,Q,126,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
RSI_Momentum,M,60,-0.06183725265938948,0.25013179681555214,0.21205727859258464,4.045001775763265,1.0,11,0.0,0.0,0.0,0.0,
RSI_Momentum,M,126,-0.04461404191933635,0.25669455889142634,0.20985607044585106,5.753671890019257,1.0,10,0.0,0.0,0.0,0.0,
RSI_Momentum,M,252,-0.0011272456873091161,0.22989936355198123,0.18472949960565885,203.94787590696512,1.0,9,0.0,0.0,0.0,0.0,
RSI_Momentum,M,504,-0.040644206394668904,0.16194050219449183,0.1262434082120914,3.984344056862499,1.0,5,0.0,0.0,0.0,0.0,
RSI_Momentum,Q,60,-0.33503228403375107,0.14278313638063458,0.33503228403375107,0.42617724674631846,1.0,2,0.0,0.0,0.0,0.0,
RSI_Momentum,Q,126,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ROE_Proxy,M,60,0.02388603635216755,0.1982348396735662,0.16155951074456668,8.299193585359225,1.0,11,0.0,0.0,0.0,0.0,
ROE_Proxy,M,126,-0.003261344005384839,0.18616082890683125,0.14817947782625418,57.081015863232814,1.0,10,0.0,0.0,0.0,0.0,
ROE_Proxy,M,252,0.009461640552795367,0.1927867986038639,0.15155850813705946,20.37562064719385,1.0,9,0.0,0.0,0.0,0.0,
ROE_Proxy,M,504,0.05256276158080904,0.21536873563473602,0.16538550903857735,4.097363402484704,1.0,5,0.0,0.0,0.0,0.0,
ROE_Proxy,Q,60,0.0887958174493424,0.29212564208722214,0.2065640224783491,3.2898581315936246,1.0,2,0.0,0.0,0.0,0.0,
ROE_Proxy,Q,126,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
