rank,ticker,alpha_score,valid_factors_count,weight,strategy_name
1,030200,-4.109908050065823,4,0.03333333333333333,Defensive Quality
2,055550,-6.029947556196681,7,0.03333333333333333,Defensive Quality
3,010950,-6.579036931545317,4,0.03333333333333333,Defensive Quality
4,017670,-14.121873754049881,4,0.03333333333333333,Defensive Quality
5,251270,-16.94916866086493,4,0.03333333333333333,Defensive Quality
6,078930,-17.12283661204595,4,0.03333333333333333,Defensive Quality
7,000720,-18.32283992561195,4,0.03333333333333333,Defensive Quality
8,066570,-18.57671735047867,8,0.03333333333333333,Defensive Quality
9,086790,-21.139478094263193,4,0.03333333333333333,Defensive Quality
10,035720,-22.982950998876728,14,0.03333333333333333,Defensive Quality
11,003550,-28.770066208733684,4,0.03333333333333333,Defensive Quality
12,005930,-38.49831751886719,13,0.03333333333333333,Defensive Quality
13,011170,-39.878784735648104,4,0.03333333333333333,Defensive Quality
14,161390,-41.9771163765292,4,0.03333333333333333,Defensive Quality
15,015760,-48.41500896179951,7,0.03333333333333333,Defensive Quality
16,004020,-55.65389590908589,4,0.03333333333333333,Defensive Quality
17,042700,-58.17721273729936,4,0.03333333333333333,Defensive Quality
18,105560,-65.84516911584318,7,0.03333333333333333,Defensive Quality
19,000270,-66.4520081918783,4,0.03333333333333333,Defensive Quality
20,033780,-82.47351554058265,8,0.03333333333333333,Defensive Quality
21,009830,-83.08333456095289,4,0.03333333333333333,Defensive Quality
22,047810,-83.7857123624998,4,0.03333333333333333,Defensive Quality
23,000100,-87.30987027146686,4,0.03333333333333333,Defensive Quality
24,006400,-94.10626164683049,11,0.03333333333333333,Defensive Quality
25,003670,-96.19752552392002,4,0.03333333333333333,Defensive Quality
26,051910,-104.89785794685308,11,0.03333333333333333,Defensive Quality
27,018260,-114.4404448134716,4,0.03333333333333333,Defensive Quality
28,011780,-116.12114822438292,4,0.03333333333333333,Defensive Quality
29,035420,-122.05969883312082,13,0.03333333333333333,Defensive Quality
30,024110,-126.15852781426959,4,0.03333333333333333,Defensive Quality
